case_key,task_id,input_id,target_variable,control_flow_expanded_exact,oracle_cf_state_exact,predicted_cf_state_attempted,predicted_cf_state_exact,end_to_end_joint_exact,request_id,problem_key,platform,cf_service_epoch,difficulty,contest_date,interface,test_source,trace_length,trace_bin,long_trace,distinct_blocks,compressed_runs,repeated_block,selected_candidate,helper_functions,cf_group,state_length,state_bin,identical_visible_messages,net_drop,oracle_position_accuracy,predicted_position_accuracy,oracle_prefix,predicted_prefix,oracle_normalized_prefix,predicted_normalized_prefix
task_lcb_0012/input_001,task_lcb_0012,input_001,best,True,True,False,False,False,task_lcb_0012/input_001/state/001,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,cf_correct,4,3-5,False,1,1.0,0.0,4,0,1.0,0.0
task_lcb_0012/input_001,task_lcb_0012,input_001,i,True,True,False,False,False,task_lcb_0012/input_001/state/002,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,cf_correct,22,11-25,False,1,1.0,0.0,22,0,1.0,0.0
task_lcb_0012/input_001,task_lcb_0012,input_001,mask,True,True,False,False,False,task_lcb_0012/input_001/state/003,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,cf_correct,8,6-10,False,1,1.0,0.0,8,0,1.0,0.0
task_lcb_0012/input_001,task_lcb_0012,input_001,n,True,True,False,False,False,task_lcb_0012/input_001/state/004,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_001,task_lcb_0012,input_001,prod,True,True,False,False,False,task_lcb_0012/input_001/state/005,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,cf_correct,20,11-25,False,1,1.0,0.0,20,0,1.0,0.0
task_lcb_0012/input_002,task_lcb_0012,input_002,best,True,True,False,False,False,task_lcb_0012/input_002/state/001,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,3,3-5,False,1,1.0,0.0,3,0,1.0,0.0
task_lcb_0012/input_002,task_lcb_0012,input_002,i,True,True,False,False,False,task_lcb_0012/input_002/state/002,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_002,task_lcb_0012,input_002,mask,True,True,False,False,False,task_lcb_0012/input_002/state/003,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_002,task_lcb_0012,input_002,n,True,True,False,False,False,task_lcb_0012/input_002/state/004,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_002,task_lcb_0012,input_002,prod,True,True,False,False,False,task_lcb_0012/input_002/state/005,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,3,3-5,False,1,1.0,0.0,3,0,1.0,0.0
task_lcb_0012/input_004,task_lcb_0012,input_004,best,True,True,False,False,False,task_lcb_0012/input_004/state/001,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,3,3-5,False,1,1.0,0.0,3,0,1.0,0.0
task_lcb_0012/input_004,task_lcb_0012,input_004,i,True,True,False,False,False,task_lcb_0012/input_004/state/002,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_004,task_lcb_0012,input_004,mask,True,True,False,False,False,task_lcb_0012/input_004/state/003,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_004,task_lcb_0012,input_004,n,True,True,False,False,False,task_lcb_0012/input_004/state/004,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
task_lcb_0012/input_004,task_lcb_0012,input_004,prod,True,True,False,False,False,task_lcb_0012/input_004/state/005,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,3,3-5,False,1,1.0,0.0,3,0,1.0,0.0
task_lcb_0012/input_006,task_lcb_0012,input_006,best,True,True,False,False,False,task_lcb_0012/input_006/state/001,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,3,3-5,False,1,1.0,0.0,3,0,1.0,0.0
task_lcb_0012/input_006,task_lcb_0012,input_006,i,True,True,False,False,False,task_lcb_0012/input_006/state/002,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,cf_correct,2,2,False,1,1.0,0.0,2,0,1.0,0.0
