task_id,problem_key,status,support,selected_candidate,total_tests,interface
task_lcb_0012,leetcode/2754,verified,supported,1,14,functional
task_lcb_0033,leetcode/2825,verified,supported,1,15,functional
task_lcb_0042,leetcode/2844,verified,supported,1,14,functional
task_lcb_0055,leetcode/2869,verified,supported,1,15,functional
task_lcb_0063,leetcode/2881,verified,supported,1,15,functional
task_lcb_0074,leetcode/2915,verified,supported,1,14,functional
task_lcb_0077,leetcode/2919,verified,supported,1,15,functional
task_lcb_0079,leetcode/2921,verified,supported,1,14,functional
task_lcb_0080,leetcode/2952,verified,supported,1,14,functional
task_lcb_0084,leetcode/2977,verified,supported,1,14,functional
task_lcb_0087,leetcode/2999,verified,supported,1,12,functional
task_lcb_0094,leetcode/3031,verified,supported,1,14,functional
task_lcb_0098,leetcode/3044,verified,supported,1,15,functional
task_lcb_0099,leetcode/3045,verified,supported,1,15,functional
task_lcb_0106,leetcode/3093,verified,supported,1,14,functional
task_lcb_0109,leetcode/3106,verified,supported,1,15,functional
task_lcb_0116,leetcode/3163,verified,supported,1,14,functional
task_lcb_0134,leetcode/3203,no_verified_solution,,,15,functional
task_lcb_0163,leetcode/3245,verified,supported,1,14,functional
task_lcb_0171,leetcode/3265,verified,supported,1,15,functional
task_lcb_0185,leetcode/3320,verified,unsupported_jump,1,14,functional
task_lcb_0187,leetcode/3329,verified,unsupported_jump,1,14,functional
task_lcb_0188,leetcode/3331,verified,supported,1,15,functional
task_lcb_0190,atcoder/abc301_a,verified,supported,1,15,stdin
task_lcb_0191,atcoder/abc301_b,verified,supported,1,10,stdin
task_lcb_0193,atcoder/abc301_d,verified,supported,1,15,stdin
task_lcb_0199,atcoder/abc302_d,verified,supported,1,16,stdin
task_lcb_0214,atcoder/abc305_c,verified,supported,1,15,stdin
task_lcb_0215,atcoder/abc305_d,verified,supported,1,14,stdin
task_lcb_0220,atcoder/abc306_d,no_verified_solution,,,15,stdin
task_lcb_0225,atcoder/abc307_d,no_verified_solution,,,16,stdin
task_lcb_0227,atcoder/abc308_a,no_verified_solution,,,15,stdin
task_lcb_0234,atcoder/abc309_b,no_verified_solution,,,15,stdin
task_lcb_0250,atcoder/abc312_b,no_verified_solution,,,15,stdin
task_lcb_0252,atcoder/abc312_d,no_verified_solution,,,15,stdin
task_lcb_0260,atcoder/abc314_c,verified,supported,1,14,stdin
task_lcb_0290,atcoder/abc322_b,no_verified_solution,,,16,stdin
task_lcb_0301,atcoder/abc324_c,verified,unsupported_jump,2,15,stdin
task_lcb_0329,atcoder/abc329_d,verified,supported,1,15,stdin
task_lcb_0337,atcoder/abc331_a,verified,supported,1,11,stdin
task_lcb_0356,atcoder/abc335_a,verified,supported,1,16,stdin
task_lcb_0371,atcoder/abc338_c,no_verified_solution,,,16,stdin
task_lcb_0386,atcoder/abc341_c,no_verified_solution,,,14,stdin
task_lcb_0413,atcoder/abc347_a,verified,supported,1,15,stdin
task_lcb_0416,atcoder/abc348_c,verified,supported,1,22,stdin
task_lcb_0419,atcoder/abc348_d,verified,unsupported_jump,3,28,stdin
task_lcb_0420,atcoder/abc348_e,verified,unsupported_jump,1,23,stdin
task_lcb_0424,atcoder/abc349_d,verified,supported,1,23,stdin
task_lcb_0433,atcoder/abc351_e,verified,supported,1,22,stdin
task_lcb_0446,atcoder/abc353_d,verified,supported,1,22,stdin
task_lcb_0459,leetcode/3356,verified,unsupported_jump,1,27,functional
task_lcb_0467,leetcode/3363,data_issue,,,,
task_lcb_0468,leetcode/3376,no_verified_solution,,,27,functional
task_lcb_0470,leetcode/3374,verified,supported,1,27,functional
task_lcb_0481,leetcode/3354,verified,supported,1,27,functional
task_lcb_0519,atcoder/abc357_b,verified,supported,1,13,stdin
task_lcb_0531,atcoder/abc360_c,verified,supported,1,22,stdin
task_lcb_0552,atcoder/abc363_e,no_verified_solution,,,30,stdin
task_lcb_0553,atcoder/abc364_b,verified,supported,1,21,stdin
task_lcb_0554,atcoder/abc364_e,no_verified_solution,,,32,stdin
task_lcb_0574,leetcode/3461,verified,supported,1,37,functional
task_lcb_0578,leetcode/3439,verified,supported,1,37,functional
task_lcb_0581,leetcode/3492,verified,supported,1,38,functional
task_lcb_0583,leetcode/3484,verified,supported,1,37,functional
task_lcb_0594,leetcode/3527,no_verified_solution,,,37,functional
task_lcb_0598,leetcode/3413,no_verified_solution,,,37,functional
task_lcb_0610,leetcode/3526,no_verified_solution,,,38,functional
task_lcb_0637,atcoder/abc369_b,no_verified_solution,,,20,stdin
task_lcb_0643,atcoder/abc370_e,no_verified_solution,,,28,stdin
task_lcb_0644,atcoder/abc370_b,no_verified_solution,,,16,stdin
task_lcb_0647,atcoder/abc371_d,no_verified_solution,,,20,stdin
task_lcb_0660,atcoder/abc373_b,verified,supported,1,20,stdin
task_lcb_0678,leetcode/3543,verified,supported,1,43,functional
task_lcb_0682,leetcode/3534,verified,unsupported_jump,1,43,functional
task_lcb_0779,atcoder/abc384_d,verified,supported,1,44,stdin
task_lcb_0781,atcoder/abc384_a,verified,supported,1,44,stdin
task_lcb_0786,atcoder/abc385_a,verified,supported,1,43,stdin
task_lcb_0796,atcoder/abc386_f,no_verified_solution,,,43,stdin
task_lcb_0809,atcoder/arc187_b,no_verified_solution,,,43,stdin
task_lcb_0810,atcoder/arc188_c,no_verified_solution,,,43,stdin
task_lcb_0812,atcoder/arc188_d,no_verified_solution,,,42,stdin
task_lcb_0813,atcoder/arc188_a,no_verified_solution,,,43,stdin
task_lcb_0823,leetcode/3603,no_verified_solution,,,42,functional
task_lcb_0831,leetcode/3646,verified,supported,3,42,functional
task_lcb_0832,leetcode/3631,no_verified_solution,,,43,functional
task_lcb_0863,leetcode/3656,no_verified_solution,,,34,functional
task_lcb_0864,leetcode/3620,no_verified_solution,,,42,functional
task_lcb_0871,leetcode/3657,verified,supported,1,43,functional
task_lcb_0891,atcoder/abc389_d,no_verified_solution,,,43,stdin
task_lcb_0896,atcoder/abc389_e,no_verified_solution,,,42,stdin
task_lcb_0951,atcoder/abc398_c,no_verified_solution,,,42,stdin
task_lcb_0974,atcoder/arc192_a,no_verified_solution,,,43,stdin
task_lcb_0981,atcoder/arc194_a,no_verified_solution,,,43,stdin
task_lcb_0998,leetcode/3737,verified,supported,1,42,functional
task_lcb_1016,leetcode/3781,no_verified_solution,,,43,functional
task_lcb_1027,leetcode/3801,no_verified_solution,,,42,functional
task_lcb_1041,leetcode/3743,no_verified_solution,,,43,functional
task_lcb_1048,leetcode/3776,no_verified_solution,,,42,functional
task_lcb_1050,leetcode/3799,no_verified_solution,,,35,functional
task_lcb_1051,leetcode/3784,no_verified_solution,,,42,functional
