case_key,task_id,input_id,expected_variable_count,predicted_state_attempted_variable_count,control_flow_expanded_exact,oracle_cf_all_variables_exact,predicted_cf_all_variables_exact,end_to_end_case_joint_exact,problem_key,platform,cf_service_epoch,difficulty,contest_date,interface,test_source,trace_length,trace_bin,long_trace,distinct_blocks,compressed_runs,repeated_block,selected_candidate,helper_functions,failure_bucket
task_lcb_0012/input_001,task_lcb_0012,input_001,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,public,87,26-100,True,9,10,True,1,False,all_correct
task_lcb_0012/input_002,task_lcb_0012,input_002,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0012/input_004,task_lcb_0012,input_004,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0012/input_006,task_lcb_0012,input_006,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0012/input_007,task_lcb_0012,input_007,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0012/input_008,task_lcb_0012,input_008,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,11,11-25,True,9,4,True,1,False,all_correct
task_lcb_0012/input_009,task_lcb_0012,input_009,5,5,True,True,True,True,leetcode/2754,leetcode,after_service_recovery,medium,2023-05-27T00:00:00,functional,private,33,26-100,True,9,6,True,1,False,all_correct
task_lcb_0042/input_000,task_lcb_0042,input_000,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,public,14,11-25,True,5,6,True,1,False,all_correct
task_lcb_0042/input_001,task_lcb_0042,input_001,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,public,19,11-25,True,5,6,True,1,False,all_correct
task_lcb_0042/input_002,task_lcb_0042,input_002,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,6,6-10,False,5,4,True,1,False,all_correct
task_lcb_0042/input_003,task_lcb_0042,input_003,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,9,6-10,False,5,4,True,1,False,all_correct
task_lcb_0042/input_004,task_lcb_0042,input_004,4,4,True,True,True,True,leetcode/2844,leetcode,before_service_recovery,easy,2023-07-16T00:00:00,functional,private,109,>100,True,5,12,True,1,False,all_correct
task_lcb_0042/input_005,task_lcb_0042,input_005,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,6,6-10,False,5,4,True,1,False,all_correct
task_lcb_0042/input_006,task_lcb_0042,input_006,4,4,True,True,True,True,leetcode/2844,leetcode,after_service_recovery,easy,2023-07-16T00:00:00,functional,private,9,6-10,False,5,4,True,1,False,all_correct
